,,,,revised,,abc,dogtime,petguide,,,koinuno,,,Audio,,Handbook,
code,sku,eng,jap,,wiki,eng1,eng2,eng3,eng5,Jwiki,jap1,jap2,jap3,eng,jap,,
poster-001,,,グループで人気の犬種,,, , , , , , , , ,,,page,order
poster-002,,Popular Dog Breeds in Groups,,,, , , , , , , , ,,,,
poster-003,,TERRIER GROUP,テリア グループ,,, , , , , , ,https://www.dogfan.jp/zukan/terrier/Group/index.html, ,,,,
poster-003,,TERRIER,テリア,,,,,,,,,https://www.dogfan.jp/zukan/terrier/Group/index.html, ,,,,
poster-004,P12003,Airedale Terrier,エアデール テリア,,https://en.wikipedia.org/wiki/Airedale_Terrier,https://www.akc.org/dog-breeds/airedale-terrier/,https://dogtime.com/dog-breeds/airedale-terrier#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%82%A8%E3%82%A2%E3%83%87%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%86%E3%83%AA%E3%82%A2,https://www.koinuno-heya.com/syurui/agyou/airedale-terrier.html, , ,,,2,1
poster-005,P12003,Bull Terrier,ブル テリア,,https://en.wikipedia.org/wiki/Bull_Terrier,https://www.akc.org/dog-breeds/bull-terrier/,https://dogtime.com/dog-breeds/bull-terrier, , ,https://ja.wikipedia.org/wiki/%E3%83%96%E3%83%AB%E3%83%BB%E3%83%86%E3%83%AA%E3%82%A2,https://www.koinuno-heya.com/syurui/hagyou/bull-terrier.html, , ,,,2,6
poster-006,P12003,American Staffordshire Terrier,アメリカンスタッフォードシャーテリア,,https://en.wikipedia.org/wiki/American_Staffordshire_Terrier,https://www.akc.org/dog-breeds/staffordshire-bull-terrier/,https://dogtime.com/dog-breeds/american-staffordshire-terrier, , ,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%A1%E3%83%AA%E3%82%AB%E3%83%B3%E3%83%BB%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%E3%82%A9%E3%83%BC%E3%83%89%E3%82%B7%E3%83%A3%E3%83%BC%E3%83%BB%E3%83%86%E3%83%AA%E3%82%A2,https://www.koinuno-heya.com/syurui/agyou/american-staffordshire-terrier.html, , ,,,2,2
poster-007,P12003,Australian Terrier,オーストラリアン テリア,,https://en.wikipedia.org/wiki/Australian_Terrier,https://www.akc.org/dog-breeds/australian-terrier/,https://dogtime.com/dog-breeds/australian-terrier, , ,https://ja.wikipedia.org/wiki/%E3%82%AA%E3%83%BC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%AA%E3%82%A2%E3%83%B3%E3%83%BB%E3%83%86%E3%83%AA%E3%82%A2,https://www.koinuno-heya.com/syurui/agyou/australian-terrier.html, , ,,,2,3
poster-008,P12003,Bedlington Terrier,"ベドリントンテリア",,https://en.wikipedia.org/wiki/Bedlington_Terrier,https://www.akc.org/dog-breeds/bedlington-terrier/,https://dogtime.com/dog-breeds/bedlington-terrier, , ,https://ja.wikipedia.org/wiki/%E3%83%99%E3%83%89%E3%83%AA%E3%83%B3%E3%83%88%E3%83%B3%E3%83%BB%E3%83%86%E3%83%AA%E3%82%A2,https://www.koinuno-heya.com/syurui/hagyou/bedlington-terrier.html, , ,,,2,4
poster-009,P12003,Border Terrier,"ボーダー テリア",,https://en.wikipedia.org/wiki/Border_Terrier,https://www.akc.org/dog-breeds/border-terrier/,https://dogtime.com/dog-breeds/border-terrier, , ,https://ja.wikipedia.org/wiki/%E3%83%9C%E3%83%BC%E3%83%80%E3%83%BC%E3%83%BB%E3%83%86%E3%83%AA%E3%82%A2,https://www.koinuno-heya.com/syurui/hagyou/border-terrier.html, , ,,,2,5
poster-010,P12003,Rat Terrier,"ラットテリア",,https://en.wikipedia.org/wiki/Rat_Terrier,https://www.akc.org/dog-breeds/rat-terrier/,https://dogtime.com/dog-breeds/rat-terrier, , , ,https://www.koinuno-heya.com/syurui/yarawagyou/rat-terrier.html, , ,,,2,7
poster-011,P12003,Cairn Terrier,"ケアーン テリア",,https://en.wikipedia.org/wiki/Cairn_Terrier,https://www.akc.org/dog-breeds/cairn-terrier/,https://dogtime.com/dog-breeds/cairn-terrier#/slide/1, , , ,https://www.koinuno-heya.com/syurui/kagyou/cairn-terrier.html, , ,,,2,9
poster-012,P12003,Wire Fox Terrier,"ワイアー フォックス テリア",,https://en.wikipedia.org/wiki/Wire_Fox_Terrier,https://www.akc.org/dog-breeds/wire-fox-terrier/,https://dogtime.com/dog-breeds/fox-terrier, , ,https://ja.wikipedia.org/wiki/%E3%83%AF%E3%82%A4%E3%82%A2%E3%83%BC%E3%83%BB%E3%83%95%E3%82%A9%E3%83%83%E3%82%AF%E3%82%B9%E3%83%BB%E3%83%86%E3%83%AA%E3%82%A2,https://www.koinuno-heya.com/syurui/yarawagyou/wire-foxterrier.html, , ,,,2,8
poster-013,P12003,Smooth Fox Terrier,"スムース フォックス テリア ",,https://en.wikipedia.org/wiki/Smooth_Fox_Terrier,https://www.akc.org/dog-breeds/smooth-fox-terrier/,https://dogtime.com/dog-breeds/fox-terrier, , ,https://ja.wikipedia.org/wiki/%E3%82%B9%E3%83%A0%E3%83%BC%E3%82%B9%E3%83%BB%E3%83%95%E3%82%A9%E3%83%83%E3%82%AF%E3%82%B9%E3%83%BB%E3%83%86%E3%83%AA%E3%82%A2,https://www.koinuno-heya.com/syurui/sagyou/smooth-foxterrier.html, , ,,,3,4
poster-014,P12003,Brazilian Terrier,ブラジリアンテリア,,https://en.wikipedia.org/wiki/Brazilian_Terrier, , ,https://www.petguide.com/breeds/dog/brazilian-terrier/,https://www.dogbreedinfo.com/brazilianterier.htm, ,https://www.koinuno-heya.com/syurui/hagyou/brazilian-terrier.html, , ,,,3,5
poster-015,P12003,Japanese Terrier,日本テリア,,https://en.wikipedia.org/wiki/Japanese_Terrier,https://brit-petfood.com/en/breed-catalog/terriers/japanese-terrier, , , , ,https://www.koinuno-heya.com/syurui/nagyou/japanese-terrier.html,https://wagwalking.com/breed/japanese-terrier, ,,,3,6
poster-016,P12003,Irish Terrier,アイリッシュ テリア,,https://en.wikipedia.org/wiki/Irish_Terrier,https://www.akc.org/dog-breeds/irish-terrier/,https://dogtime.com/dog-breeds/irish-terrier, , ,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%82%A4%E3%83%AA%E3%83%83%E3%82%B7%E3%83%A5%E3%83%BB%E3%83%86%E3%83%AA%E3%82%A2,https://www.koinuno-heya.com/syurui/agyou/irish-terrier.html, , ,,,3,1
poster-017,P12003,Kerry Blue Terrierr,ケリー ブルー テリア,,https://en.wikipedia.org/wiki/Kerry_Blue_Terrier,https://www.akc.org/dog-breeds/kerry-blue-terrier/,https://dogtime.com/dog-breeds/kerry-blue-terrier, , ,https://ja.wikipedia.org/wiki/%E3%82%B1%E3%83%AA%E3%83%BC%E3%83%BB%E3%83%96%E3%83%AB%E3%83%BC%E3%83%BB%E3%83%86%E3%83%AA%E3%82%A2,https://www.koinuno-heya.com/syurui/kagyou/kerry-blue-terrier.html, , ,,,3,2
poster-018,P12003,Lakeland Terrier,レイクランドテリア,,https://en.wikipedia.org/wiki/Lakeland_Terrier,https://www.akc.org/dog-breeds/lakeland-terrier/,https://dogtime.com/dog-breeds/lakeland-terrier, , , ,https://www.koinuno-heya.com/syurui/yarawagyou/lakeland-terrier.html, , ,,,3,3
poster-019,P12003,Manchester Terrier,マンチェスター テリア,,https://en.wikipedia.org/wiki/Manchester_Terrier,https://www.akc.org/dog-breeds/manchester-terrier-standard/,https://dogtime.com/dog-breeds/manchester-terrier, , ,https://ja.wikipedia.org/wiki/%E3%83%9E%E3%83%B3%E3%83%81%E3%82%A7%E3%82%B9%E3%82%BF%E3%83%BC%E3%83%BB%E3%83%86%E3%83%AA%E3%82%A2,https://www.koinuno-heya.com/syurui/magyou/manchester-terrier.html, , ,,,3,7
poster-020,P12003,Miniature Bull Terrier,ミニチュア ブル テリア,,https://en.wikipedia.org/wiki/Miniature_Bull_Terrier,https://www.akc.org/dog-breeds/miniature-bull-terrier/,https://dogtime.com/dog-breeds/bull-terrier, , , , ,https://www.min-inuzukan.com/miniature-bull-terrier.html, ,,,2,11
poster-021,P12003,Miniature Schnauzer,ミニチュア シュナウザー,,https://en.wikipedia.org/wiki/Miniature_Schnauzer,https://www.akc.org/dog-breeds/miniature-schnauzer/,https://dogtime.com/dog-breeds/miniature-schnauzer#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%9F%E3%83%8B%E3%83%81%E3%83%A5%E3%82%A2%E3%83%BB%E3%82%B7%E3%83%A5%E3%83%8A%E3%82%A6%E3%82%B6%E3%83%BC,https://www.koinuno-heya.com/syurui/magyou/miniature-schnauzer.html, , ,,,2,12
poster-022,P12003,Norfolk Terrier,ノーフォーク テリア,,https://en.wikipedia.org/wiki/Norfolk_Terrier,https://www.akc.org/dog-breeds/norfolk-terrier/,https://dogtime.com/dog-breeds/norfolk-terrier#/slide/1, , ,https://ja.wikipedia.org/wiki/%E3%83%8E%E3%83%BC%E3%83%95%E3%82%A9%E3%83%BC%E3%82%AF%E3%83%BB%E3%83%86%E3%83%AA%E3%82%A2,https://www.koinuno-heya.com/syurui/nagyou/norfolk-terrier.html, , ,,,2,13
