sku,group,group_name,title
P12001,1,Popular Cat Breeds,Popular Cat Breeds 1
P12002,1,,Popular Cat Breeds 2
P12003,2,Popular Dog Breeds,Popular Dog Breeds in Groups 1
P12004,2,,Popular Dog Breeds in Groups 2
P12005,2,,Popular Dog Breeds in Groups 3
P22001,3,Abstract blue flowers,abstract blue flowers set 1
P22002,3,,abstract blue flowers set 2
P22003,3,,abstract blue flowers set 3
P22004,,,NY city
P22005,,,new born baby
P22007,,,Blue sea and white houses. Modern art
P22008,,,Horses
P22009,,,Sunset over ocean.
P22019,,,Horse equestrian
P22020,,,Rainy Day
P22027,,,dolphin underwater on ocean background looking at you
P22028,,,Miyakojima island landscape
P22029,,,Fujiyoshida
P22030,,,Cheetah cub
P22033,,,Bamboo Forest
P22034,,,"snorkeling, tahiti"
P22035,,,"Antique Map of the World by Ortelius, circa 1570"
P22036,,,"Antique Map of the World by Didier Robert de Vaugondy, circa 1752"
P22039,,,Poppy Fields Near Argenteuil
P22040,,,Ginevra De Benci
P22042,4,Contemporary abstract art,"Contemporary abstract art, Pisa"
P22043,4,,"Contemporary abstract art, London"
P22044,4,,"Contemporary abstract art, Paris"
P22045,,,"Animals in clothes, Dog"
P22056,,,chihuahua selfie
P22057,,,Cats taking a selfie
P22058,5,White rose,White rose 1
P22059,5,,White rose 2
P22060,5,,White rose 3
P22064,,,Ukraine
P22065,,,rural landscape
P22066,,,Forest stream brook
P22067,,,Beautiful sunset
P22071,,,baby_dogpuppy
P22080,,,A Wooded Landscape with Travelers on a Path through a Hamlet
