type,name,alias,chart sku,file name,tags,category,cat1,cat2,category alias to replace,bundle_chart_thumb,bundle+chart images,1:1 gallery
chart,Popular Cat Bleeds,popular-cat-bleeds,A0A_10630,images/bundle/A0A_10630_Ed_cat_277.jpg,"animal,animal,cat,cat,educational,bleed,photo,learning,audio,Terriers,Airedale Terrier,American Staffordshire 
Terrier,Wire Fox Terrier,Boston Terrier,Russell Terrier,Skye Terrier,American Pit Bull Terrier,West Highland White Terrier,Yorkshire Terrier,Silky Terrier,Cairn Terrier,Manchester Terrier,Jack Russell Terrier,English Greyhound,Greyhound,Smooth-haired Dachshund,Long-haired Dachshund,Wire-haired Dachshund,Afghan Hound,Beagle,Basset Hound,Sporting,American Cocker Spanieil,Golden Retriever,Vizsla,Weimaraner,Labrador Retriever,Herding,Pembroke Welsh Corgi,Shetland Sheepdog,Dogi (Welsh Corgi x Dachshund),Pyrenean Shepherd,Bouvier des Flandres,Australian Shepherd,German Shepherd,Border Collie,educational,bleed,photo,learning,audio,Toy Dogs,Pomeranian,Pug,Chihuahua Rough Coat,Chihuahua Smooth Coat,Papillon,Chinese Crested,Working Dogs,Bull Terrier,French Bulldog,Siberian Husky,Alaskan Malamute,Great Dane,Giant Schnauzer,Bullmastiff,Bernese Mountain Dog,English Mastiff,Dogue de Bordeaux,Boxer,Samoyed,Saint Bernard,Bull Terrier x Boxer,German Pinscher,Miniature Pinscher,French Bulldog x,Chinese Crested,Rottweiler,Non-sporting,Chow Chow,Miniature Poodle,Standard Poodle,Shiba Inu,Shar Pei,Dalmatian",cat,animal,cat,,,,
,,,A0A_10640,images/bundle/A0A_10640_Ed_cat_277.jpg,,,animal,cat,,,,
chart,Popular Dog Bleeds,popular-dog-bleeds,A0B_10610,images/bundle/A0B_10610_Ed_dog_277.jpg,"animal,animal,dog,dog,educational,bleed,painting,learning,audio,Popular Cat Breeds,American Curl Cat,American Bobtail Cat,Aegean Cat,American Shorthair Cat,American Wirehair Cat,Aphrodite Giant Cat,Abyssinian Cat,Exotic Cat,Arabian Mau Cat,Australian Mist Cat,British Shorthair Cat,Birman Cat,Bombay Cat,Burmese Cat,British Fold Kitten,Bengal Cat,Tonkinese Cat,California Spangled Cat,British Longhair Cat,Chartreux Cat,Snowshoe Cat,Colorpoint Shorthair Cat,Chausie Cat,Cornish Rex Cat,Cymric Cat,educational,bleed,painting,learning,audio,Don Sphynx Cat,Egyptian Mau,Manx Cat,Cyprus Mountain Cat,Oriental Bicolor,Siamese Cat,Maine Coon White Cat,Maine Coon Black Cat,Lykoi Cat,Maine Coon Kitten,Minskin Cat,Devon Rex Kitten,British Fold Marble Cat,Norwegian Forest,Sphynx,Siberian Cat,Ragdoll Cat,Persian White Cat,Korean Bobtail Cat,York Chocolate Cat,LaPerm Cat,Highlander Cat,Ragamuffin,Kurilian Bobtail Cat,Ukrainian Levkoy Cat",dog,animal,dog,,,,
,,,A0B_10620,images/bundle/A0B_10620_Ed_dog_277.jpg,,,animal,dog,,,,
bundle,Life Is Better With A Dog,life-is-better-with-a-dog,A0B_10610,images/bundle/A01_10010_dog_277.jpg,"animal,animal,animal,animal,animal,animal,animal,dog,dog,dog,dog,dog,dog,dog,decor,painting,artistic,pug,cartoon,illustration,decor,painting,artistic,pug,cartoon,hat,illustration,decor,photo,artistic,terrier,decor,photo,artistic,sled,decor,painting,artistic,hat,cartoon,bow tie,illustration,decor,photo,artistic,labrador,decor,photo,artistic,puppy,labrador,terrier",dog,animal,dog,,images/bundle/gallery/A01_bundle_chart_thumb_762.jpg,images/bundle/gallery/A01_wall_dog_room_02W_sq_762.jpg|images/bundle/gallery/A01_dog_sizes_decor_n_chart_combo2_01_762.jpg|images/bundle/gallery/A0B_405_2_762.jpg|images/bundle/gallery/A01_dog_02b_framed_762.jpg|images/bundle/gallery/A01_dog_02c_framed_762.jpg|images/bundle/gallery/A01_dog_03_framed_762.jpg|images/bundle/gallery/A0B_dog_chart_thinW_V_A2_59.4_x_42p2_762.jpg|images/bundle/gallery/A0B_dog_chart_thinW_V_A2_59.4_x_42_p1_762.jpg|images/bundle/gallery/A01_dog_04_framed_762.jpg|images/bundle/gallery/A01_dog_05_framed_762.jpg|images/bundle/gallery/A01_dog_07_framed_762.jpg|images/bundle/gallery/A01_V_30_30_762.jpg|images/bundle/gallery/A01_wall_dog_room_01_sq2_762.jpg,A01_dog_02b_framed
,,,,images/bundle/A01_10020_dog_277.jpg,,,animal,dog,,,,A01_dog_02c_framed
,,,,images/bundle/A01_10030_dog_277.jpg,,,animal,dog,,,,A01_dog_03_framed
,,,,images/bundle/A01_10040_dog_277.jpg,,,animal,dog,,,,A01_dog_04_framed
,,,,images/bundle/A01_10050_dog_277.jpg,,,animal,dog,,,,A01_V_30_30
,,,,images/bundle/A01_10060_dog_277.jpg,,,animal,dog,,,,A01_dog_05_framed
