bundle name,bundle alias,chart option,file name,tags,category,bundle_chart_thumb,bundle+chart images
Life Is Better With A Dog,life-is-better-with-a-dog,dog,A01_10010_dog,"animal,dog,decor,painting,artistic,pug,cartoon,illustration",dog,images/bundle/gallery/A01_bundle_chart_thumb_762.jpg,images/bundle/gallery/A01_wall_dog_room_02W_sq_762.jpg|images/bundle/gallery/A01_dog_sizes_decor_n_chart_combo2_01_762.jpg|images/bundle/gallery/A0B_405_2_762.jpg|images/bundle/gallery/A01_dog_02b_framed_762.jpg|images/bundle/gallery/A01_dog_02c_framed_762.jpg|images/bundle/gallery/A01_dog_03_framed_762.jpg|images/bundle/gallery/A0B_dog_chart_thinW_V_A2_59.4_x_42p2_762.jpg|images/bundle/gallery/A0B_dog_chart_thinW_V_A2_59.4_x_42_p1_762.jpg|images/bundle/gallery/A01_dog_04_framed_762.jpg|images/bundle/gallery/A01_dog_05_framed_762.jpg|images/bundle/gallery/A01_dog_07_framed_762.jpg|images/bundle/gallery/A01_V_30_30_762.jpg|images/bundle/gallery/A01_wall_dog_room_01_sq2_762.jpg
,,,A01_10020_dog,,,,
,,,A01_10030_dog,,,,
,,,A01_10040_dog,,,,
,,,A01_10050_dog,,,,
,,,A01_10060_dog,,,,
,,,A01_10070_dog,,,,
Life Is Better With Cats,life-is-better-with-cats,cat,A02_10080_cat,"animal,cat,decor,photo,artistic,side,head",cat,images/bundle/gallery/A02_bundle_charrt_thumb_762.jpg,images/bundle/gallery/A02_cat_room1_sq_sh_267552128_762.jpg|images/bundle/gallery/A02_cat_sizes_decor_n_chart_combo1_762.jpg|images/bundle/gallery/A0A_1251_762.jpg|images/bundle/gallery/A02_cat_09_thin_V_A2_59.4x42_762.jpg|images/bundle/gallery/A02_cat_01_thin_H_A3_29_7_42_762.jpg|images/bundle/gallery/A02_cat_02_thin_H_A3_29_7_42_762.jpg|images/bundle/gallery/A0A_cat_chart_thinW_V_A2_59_1_762.jpg|images/bundle/gallery/A0A_cat_chart_thinW_V_A2_59_2_762.jpg|images/bundle/gallery/A02_cat_03_A3_thin_V_30_80_762.jpg|images/bundle/gallery/A02_cat_04_thin_V_A4_29_7_21_762.jpg|images/bundle/gallery/A02_cat_05_thin_V_A3_29_7_42_762.jpg|images/bundle/gallery/A02_cat_06_thin_V_A4_29_7_21_762.jpg|images/bundle/gallery/A02_cat_07_thin_H_A2_59_4_42_762.jpg|images/bundle/gallery/A02_cat_08_thin_V_30_40_762.jpg|images/bundle/gallery/A02_cat_room2_sq_1031082511_762.jpg
,,,A02_10090_cat,,,,
,,,A02_10100_cat,,,,
,,,A02_10110_cat,,,,
,,,A02_10120_cat,,,,
,,,A02_10130_cat,,,,
,,,A02_10140_cat,,,,
,,,A02_10150_cat,,,,
,,,A02_10160_cat,,,,
