,,must be unique,,,
level,title,alias,cat1 alias to lookup,cat2 alias to lookup,cat alias to replace
0,ROOT,root,,,
1,Poster,poster,,,
2,Animal,animal,,,
3,Cat,cat,,,
3,Dog,dog,,,
2,Abstract,abstract,,,
3,Building,building,,,
3,Castle,castle,,,
3,Flower,flower,,,
3,House,house,,,
3,Graphical,graphical,,,
3,Material,material,,,
3,Motivational,motivational,,,
3,Nature,nature,,,
3,Plant,plant,,,
3,Sea,sea,,,
3,Sublimation,sublimation,,,
3,Water,water,,,
2,Educational,educational,,,
3,Painting,educational-painting,educational,painting,educational/educational-painting
3,Illustration,illustration,,,
2,Map,map,,,
3,Historical,historical,,,
2,Painting,painting,,,
3,Impressionism,impressionism,,,
