title,alias,sku,tags,category,main_image,thumb_image,additional_images,introtext,fulltext,enabled
Popular Cat Breeds 1,popular-cat-breeds-1,P12001,"animal,cat,image",cat,images/poster/edupack/cat/P12001_762.jpg,images/poster/edupack/cat/P12001_277.jpg,images/poster/edupack/cat/promo/P12001_001_277.jpg|images/poster/edupack/cat/promo/P12001_002_277.jpg|images/poster/edupack/cat/promo/P12001_003_277.jpg,"<ul class=""point_description"">\r\n<li><span class=""a-list-item"">【テーブルサイズ】幅60奥行40×高さ28cm、重量2.6kg、耐荷重：40kg</span></li>\r\n<li><span class=""a-list-item"">【素材＆材質】天板/プリント紙化粧パーティクルボード、天板側面/合成樹脂(PVC)、脚部/アルミ。</span></li>\r\n<li><span class=""a-list-item"">【持ち運び・収納も簡単】折りたたみから収納するまで2つのステップしかない！アルミニウム製の足を折りたためばベッドやソファー下、隙間への収納が可能。インストールする必要はありません。インドアやアウトドア活動に適用です。</span></li>\r\n<li><span class=""a-list-item"">【ヒューマナイズドデザイン】いつでもどこでも快適さをもたらします。 スペースアルミで作られたU型脚部、軽くてしっかり立てます。 脚部保護パッド、滑り止めで磨滅に耐える。 お腹にフィットする人間工学弧線設計で、もっと快適、凹溝付きで、タブレット/スマホが簡単に置けます。</span></li>\r\n<li><span class=""a-list-item"">【ノートパソコンに最適なミニデスク】11-17インチのノートPCの使用に最適な折り畳み式テーブル、ベッド・ソファーの上でも勉強や仕事、読書、執筆、ゲームなどの作業が快適に。お茶を飲んだり、お菓子を食べたり、お子さんの勉強机にも手頃な大きさで役立ちます。食事、勉強、ゲームなどの際にぴったりのちゃぶ台です。</span></li>\r\n</ul>\r\n","\r\n<div class=""row"">\r\n<div class=""col-sm-6"">\r\n<div class=""image-map-container""><img src=""/images/sprite/test_poster_sprite.jpg"" alt="""" usemap=""#image-map"" />\r\n<div class=""map-selector"">&nbsp;</div>\r\n</div>\r\n<p><map id=""image-map"" name=""image-map""> \r\n<area title=""take a break"" alt=""take a break"" coords=""43,259,170,420"" shape=""rect"" href=""#"" data-row=""25"" />\r\n \r\n<area title=""eat well"" alt=""eat well"" coords=""171,259,294,420"" shape=""rect"" href=""#"" data-row=""45"" />\r\n \r\n<area title=""focus"" alt=""focus"" coords=""294,259,430,420"" shape=""rect"" href=""#"" data-row=""91"" />\r\n \r\n<area title=""sleep well"" alt=""sleep well"" coords=""430,259,554,420"" shape=""rect"" href=""#"" data-row=""99"" />\r\n </map></p>\r\n</div>\r\n<div class=""col-sm-6"">\r\n<div id=""example-table"">&nbsp;</div>\r\n</div>\r\n</div>\r\n<!--  <input id=""row-id""/>   <button onclick=""scroll_to_row('bottom')"">Scroll to row (bottom)</button>    <button onclick=""scroll_to_row('center')"">Scroll to row (center)</button>    <button onclick=""scroll_to_row('top')"">Scroll to row (top)</button>-->",1
Popular Cat Breeds 2,popular-cat-breeds-2,P12002,"animal,cat,image",cat,images/poster/edupack/cat/P12002_762.jpg,images/poster/edupack/cat/P12002_277.jpg,images/poster/edupack/cat/promo/P12001_001_277.jpg|images/poster/edupack/cat/promo/P12001_002_277.jpg|images/poster/edupack/cat/promo/P12001_003_277.jpg,"<ul class=""point_description"">\r\n<li><span class=""a-list-item"">【テーブルサイズ】幅60奥行40×高さ28cm、重量2.6kg、耐荷重：40kg</span></li>\r\n<li><span class=""a-list-item"">【素材＆材質】天板/プリント紙化粧パーティクルボード、天板側面/合成樹脂(PVC)、脚部/アルミ。</span></li>\r\n<li><span class=""a-list-item"">【持ち運び・収納も簡単】折りたたみから収納するまで2つのステップしかない！アルミニウム製の足を折りたためばベッドやソファー下、隙間への収納が可能。インストールする必要はありません。インドアやアウトドア活動に適用です。</span></li>\r\n<li><span class=""a-list-item"">【ヒューマナイズドデザイン】いつでもどこでも快適さをもたらします。 スペースアルミで作られたU型脚部、軽くてしっかり立てます。 脚部保護パッド、滑り止めで磨滅に耐える。 お腹にフィットする人間工学弧線設計で、もっと快適、凹溝付きで、タブレット/スマホが簡単に置けます。</span></li>\r\n<li><span class=""a-list-item"">【ノートパソコンに最適なミニデスク】11-17インチのノートPCの使用に最適な折り畳み式テーブル、ベッド・ソファーの上でも勉強や仕事、読書、執筆、ゲームなどの作業が快適に。お茶を飲んだり、お菓子を食べたり、お子さんの勉強机にも手頃な大きさで役立ちます。食事、勉強、ゲームなどの際にぴったりのちゃぶ台です。</span></li>\r\n</ul>\r\n","\r\n<div class=""row"">\r\n<div class=""col-sm-6"">\r\n<div class=""image-map-container""><img src=""/images/sprite/test_poster_sprite.jpg"" alt="""" usemap=""#image-map"" />\r\n<div class=""map-selector"">&nbsp;</div>\r\n</div>\r\n<p><map id=""image-map"" name=""image-map""> \r\n<area title=""take a break"" alt=""take a break"" coords=""43,259,170,420"" shape=""rect"" href=""#"" data-row=""25"" />\r\n \r\n<area title=""eat well"" alt=""eat well"" coords=""171,259,294,420"" shape=""rect"" href=""#"" data-row=""45"" />\r\n \r\n<area title=""focus"" alt=""focus"" coords=""294,259,430,420"" shape=""rect"" href=""#"" data-row=""91"" />\r\n \r\n<area title=""sleep well"" alt=""sleep well"" coords=""430,259,554,420"" shape=""rect"" href=""#"" data-row=""99"" />\r\n </map></p>\r\n</div>\r\n<div class=""col-sm-6"">\r\n<div id=""example-table"">&nbsp;</div>\r\n</div>\r\n</div>\r\n<!--  <input id=""row-id""/>   <button onclick=""scroll_to_row('bottom')"">Scroll to row (bottom)</button>    <button onclick=""scroll_to_row('center')"">Scroll to row (center)</button>    <button onclick=""scroll_to_row('top')"">Scroll to row (top)</button>-->",1
Popular Dog Breeds in Groups 1,popular-dog-breeds-in-groups-1,P12003,"animal,dog,image",dog,images/poster/edupack/dog/P12003_762.jpg,images/poster/edupack/dog/P12003_277.jpg,images/poster/edupack/dog/promo/P12003_001_277.jpg|images/poster/edupack/dog/promo/P12003_002_277.jpg|images/poster/edupack/dog/promo/P12003_003_277.jpg,"<ul class=""point_description"">\r\n<li><span class=""a-list-item"">【テーブルサイズ】幅60奥行40×高さ28cm、重量2.6kg、耐荷重：40kg</span></li>\r\n<li><span class=""a-list-item"">【素材＆材質】天板/プリント紙化粧パーティクルボード、天板側面/合成樹脂(PVC)、脚部/アルミ。</span></li>\r\n<li><span class=""a-list-item"">【持ち運び・収納も簡単】折りたたみから収納するまで2つのステップしかない！アルミニウム製の足を折りたためばベッドやソファー下、隙間への収納が可能。インストールする必要はありません。インドアやアウトドア活動に適用です。</span></li>\r\n<li><span class=""a-list-item"">【ヒューマナイズドデザイン】いつでもどこでも快適さをもたらします。 スペースアルミで作られたU型脚部、軽くてしっかり立てます。 脚部保護パッド、滑り止めで磨滅に耐える。 お腹にフィットする人間工学弧線設計で、もっと快適、凹溝付きで、タブレット/スマホが簡単に置けます。</span></li>\r\n<li><span class=""a-list-item"">【ノートパソコンに最適なミニデスク】11-17インチのノートPCの使用に最適な折り畳み式テーブル、ベッド・ソファーの上でも勉強や仕事、読書、執筆、ゲームなどの作業が快適に。お茶を飲んだり、お菓子を食べたり、お子さんの勉強机にも手頃な大きさで役立ちます。食事、勉強、ゲームなどの際にぴったりのちゃぶ台です。</span></li>\r\n</ul>\r\n","\r\n<div class=""row"">\r\n<div class=""col-sm-6"">\r\n<div class=""image-map-container""><img src=""/images/sprite/test_poster_sprite.jpg"" alt="""" usemap=""#image-map"" />\r\n<div class=""map-selector"">&nbsp;</div>\r\n</div>\r\n<p><map id=""image-map"" name=""image-map""> \r\n<area title=""take a break"" alt=""take a break"" coords=""43,259,170,420"" shape=""rect"" href=""#"" data-row=""25"" />\r\n \r\n<area title=""eat well"" alt=""eat well"" coords=""171,259,294,420"" shape=""rect"" href=""#"" data-row=""45"" />\r\n \r\n<area title=""focus"" alt=""focus"" coords=""294,259,430,420"" shape=""rect"" href=""#"" data-row=""91"" />\r\n \r\n<area title=""sleep well"" alt=""sleep well"" coords=""430,259,554,420"" shape=""rect"" href=""#"" data-row=""99"" />\r\n </map></p>\r\n</div>\r\n<div class=""col-sm-6"">\r\n<div id=""example-table"">&nbsp;</div>\r\n</div>\r\n</div>\r\n<!--  <input id=""row-id""/>   <button onclick=""scroll_to_row('bottom')"">Scroll to row (bottom)</button>    <button onclick=""scroll_to_row('center')"">Scroll to row (center)</button>    <button onclick=""scroll_to_row('top')"">Scroll to row (top)</button>-->",1
Popular Dog Breeds in Groups 2,popular-dog-breeds-in-groups-2,P12004,"animal,dog,image",dog,images/poster/edupack/dog/P12004_762.jpg,images/poster/edupack/dog/P12004_277.jpg,images/poster/edupack/dog/promo/P12003_001_277.jpg|images/poster/edupack/dog/promo/P12003_002_277.jpg|images/poster/edupack/dog/promo/P12003_003_277.jpg,"<ul class=""point_description"">\r\n<li><span class=""a-list-item"">【テーブルサイズ】幅60奥行40×高さ28cm、重量2.6kg、耐荷重：40kg</span></li>\r\n<li><span class=""a-list-item"">【素材＆材質】天板/プリント紙化粧パーティクルボード、天板側面/合成樹脂(PVC)、脚部/アルミ。</span></li>\r\n<li><span class=""a-list-item"">【持ち運び・収納も簡単】折りたたみから収納するまで2つのステップしかない！アルミニウム製の足を折りたためばベッドやソファー下、隙間への収納が可能。インストールする必要はありません。インドアやアウトドア活動に適用です。</span></li>\r\n<li><span class=""a-list-item"">【ヒューマナイズドデザイン】いつでもどこでも快適さをもたらします。 スペースアルミで作られたU型脚部、軽くてしっかり立てます。 脚部保護パッド、滑り止めで磨滅に耐える。 お腹にフィットする人間工学弧線設計で、もっと快適、凹溝付きで、タブレット/スマホが簡単に置けます。</span></li>\r\n<li><span class=""a-list-item"">【ノートパソコンに最適なミニデスク】11-17インチのノートPCの使用に最適な折り畳み式テーブル、ベッド・ソファーの上でも勉強や仕事、読書、執筆、ゲームなどの作業が快適に。お茶を飲んだり、お菓子を食べたり、お子さんの勉強机にも手頃な大きさで役立ちます。食事、勉強、ゲームなどの際にぴったりのちゃぶ台です。</span></li>\r\n</ul>\r\n","\r\n<div class=""row"">\r\n<div class=""col-sm-6"">\r\n<div class=""image-map-container""><img src=""/images/sprite/test_poster_sprite.jpg"" alt="""" usemap=""#image-map"" />\r\n<div class=""map-selector"">&nbsp;</div>\r\n</div>\r\n<p><map id=""image-map"" name=""image-map""> \r\n<area title=""take a break"" alt=""take a break"" coords=""43,259,170,420"" shape=""rect"" href=""#"" data-row=""25"" />\r\n \r\n<area title=""eat well"" alt=""eat well"" coords=""171,259,294,420"" shape=""rect"" href=""#"" data-row=""45"" />\r\n \r\n<area title=""focus"" alt=""focus"" coords=""294,259,430,420"" shape=""rect"" href=""#"" data-row=""91"" />\r\n \r\n<area title=""sleep well"" alt=""sleep well"" coords=""430,259,554,420"" shape=""rect"" href=""#"" data-row=""99"" />\r\n </map></p>\r\n</div>\r\n<div class=""col-sm-6"">\r\n<div id=""example-table"">&nbsp;</div>\r\n</div>\r\n</div>\r\n<!--  <input id=""row-id""/>   <button onclick=""scroll_to_row('bottom')"">Scroll to row (bottom)</button>    <button onclick=""scroll_to_row('center')"">Scroll to row (center)</button>    <button onclick=""scroll_to_row('top')"">Scroll to row (top)</button>-->",1
Popular Dog Breeds in Groups 3,popular-dog-breeds-in-groups-3,P12005,"animal,dog,image",dog,images/poster/edupack/dog/P12005_762.jpg,images/poster/edupack/dog/P12005_277.jpg,images/poster/edupack/dog/promo/P12003_001_277.jpg|images/poster/edupack/dog/promo/P12003_002_277.jpg|images/poster/edupack/dog/promo/P12003_003_277.jpg,"<ul class=""point_description"">\r\n<li><span class=""a-list-item"">【テーブルサイズ】幅60奥行40×高さ28cm、重量2.6kg、耐荷重：40kg</span></li>\r\n<li><span class=""a-list-item"">【素材＆材質】天板/プリント紙化粧パーティクルボード、天板側面/合成樹脂(PVC)、脚部/アルミ。</span></li>\r\n<li><span class=""a-list-item"">【持ち運び・収納も簡単】折りたたみから収納するまで2つのステップしかない！アルミニウム製の足を折りたためばベッドやソファー下、隙間への収納が可能。インストールする必要はありません。インドアやアウトドア活動に適用です。</span></li>\r\n<li><span class=""a-list-item"">【ヒューマナイズドデザイン】いつでもどこでも快適さをもたらします。 スペースアルミで作られたU型脚部、軽くてしっかり立てます。 脚部保護パッド、滑り止めで磨滅に耐える。 お腹にフィットする人間工学弧線設計で、もっと快適、凹溝付きで、タブレット/スマホが簡単に置けます。</span></li>\r\n<li><span class=""a-list-item"">【ノートパソコンに最適なミニデスク】11-17インチのノートPCの使用に最適な折り畳み式テーブル、ベッド・ソファーの上でも勉強や仕事、読書、執筆、ゲームなどの作業が快適に。お茶を飲んだり、お菓子を食べたり、お子さんの勉強机にも手頃な大きさで役立ちます。食事、勉強、ゲームなどの際にぴったりのちゃぶ台です。</span></li>\r\n</ul>\r\n","\r\n<div class=""row"">\r\n<div class=""col-sm-6"">\r\n<div class=""image-map-container""><img src=""/images/sprite/test_poster_sprite.jpg"" alt="""" usemap=""#image-map"" />\r\n<div class=""map-selector"">&nbsp;</div>\r\n</div>\r\n<p><map id=""image-map"" name=""image-map""> \r\n<area title=""take a break"" alt=""take a break"" coords=""43,259,170,420"" shape=""rect"" href=""#"" data-row=""25"" />\r\n \r\n<area title=""eat well"" alt=""eat well"" coords=""171,259,294,420"" shape=""rect"" href=""#"" data-row=""45"" />\r\n \r\n<area title=""focus"" alt=""focus"" coords=""294,259,430,420"" shape=""rect"" href=""#"" data-row=""91"" />\r\n \r\n<area title=""sleep well"" alt=""sleep well"" coords=""430,259,554,420"" shape=""rect"" href=""#"" data-row=""99"" />\r\n </map></p>\r\n</div>\r\n<div class=""col-sm-6"">\r\n<div id=""example-table"">&nbsp;</div>\r\n</div>\r\n</div>\r\n<!--  <input id=""row-id""/>   <button onclick=""scroll_to_row('bottom')"">Scroll to row (bottom)</button>    <button onclick=""scroll_to_row('center')"">Scroll to row (center)</button>    <button onclick=""scroll_to_row('top')"">Scroll to row (top)</button>-->",1
abstract blue flowers set 1,abstract-blue-flowers-set-1,P22001,"abstract,flower,painting",flower,images/poster/decor/P22001_762.jpg,images/poster/decor/P22001_277.jpg,images/poster/decor/promo/P22001_277.jpg,"<ul class=""point_description"">\r\n<li><span class=""a-list-item"">【テーブルサイズ】幅60奥行40×高さ28cm、重量2.6kg、耐荷重：40kg</span></li>\r\n<li><span class=""a-list-item"">【素材＆材質】天板/プリント紙化粧パーティクルボード、天板側面/合成樹脂(PVC)、脚部/アルミ。</span></li>\r\n<li><span class=""a-list-item"">【持ち運び・収納も簡単】折りたたみから収納するまで2つのステップしかない！アルミニウム製の足を折りたためばベッドやソファー下、隙間への収納が可能。インストールする必要はありません。インドアやアウトドア活動に適用です。</span></li>\r\n<li><span class=""a-list-item"">【ヒューマナイズドデザイン】いつでもどこでも快適さをもたらします。 スペースアルミで作られたU型脚部、軽くてしっかり立てます。 脚部保護パッド、滑り止めで磨滅に耐える。 お腹にフィットする人間工学弧線設計で、もっと快適、凹溝付きで、タブレット/スマホが簡単に置けます。</span></li>\r\n<li><span class=""a-list-item"">【ノートパソコンに最適なミニデスク】11-17インチのノートPCの使用に最適な折り畳み式テーブル、ベッド・ソファーの上でも勉強や仕事、読書、執筆、ゲームなどの作業が快適に。お茶を飲んだり、お菓子を食べたり、お子さんの勉強机にも手頃な大きさで役立ちます。食事、勉強、ゲームなどの際にぴったりのちゃぶ台です。</span></li>\r\n</ul>\r\n",,1
abstract blue flowers set 2,abstract-blue-flowers-set-2,P22002,"abstract,flower,painting",flower,images/poster/decor/P22002_762.jpg,images/poster/decor/P22002_277.jpg,images/poster/decor/promo/P22002_277.jpg,"<ul class=""point_description"">\r\n<li><span class=""a-list-item"">【テーブルサイズ】幅60奥行40×高さ28cm、重量2.6kg、耐荷重：40kg</span></li>\r\n<li><span class=""a-list-item"">【素材＆材質】天板/プリント紙化粧パーティクルボード、天板側面/合成樹脂(PVC)、脚部/アルミ。</span></li>\r\n<li><span class=""a-list-item"">【持ち運び・収納も簡単】折りたたみから収納するまで2つのステップしかない！アルミニウム製の足を折りたためばベッドやソファー下、隙間への収納が可能。インストールする必要はありません。インドアやアウトドア活動に適用です。</span></li>\r\n<li><span class=""a-list-item"">【ヒューマナイズドデザイン】いつでもどこでも快適さをもたらします。 スペースアルミで作られたU型脚部、軽くてしっかり立てます。 脚部保護パッド、滑り止めで磨滅に耐える。 お腹にフィットする人間工学弧線設計で、もっと快適、凹溝付きで、タブレット/スマホが簡単に置けます。</span></li>\r\n<li><span class=""a-list-item"">【ノートパソコンに最適なミニデスク】11-17インチのノートPCの使用に最適な折り畳み式テーブル、ベッド・ソファーの上でも勉強や仕事、読書、執筆、ゲームなどの作業が快適に。お茶を飲んだり、お菓子を食べたり、お子さんの勉強机にも手頃な大きさで役立ちます。食事、勉強、ゲームなどの際にぴったりのちゃぶ台です。</span></li>\r\n</ul>\r\n",,1
abstract blue flowers set 3,abstract-blue-flowers-set-3,P22003,"abstract,flower,painting",flower,images/poster/decor/P22003_762.jpg,images/poster/decor/P22003_277.jpg,images/poster/decor/promo/P22003_277.jpg,"<ul class=""point_description"">\r\n<li><span class=""a-list-item"">【テーブルサイズ】幅60奥行40×高さ28cm、重量2.6kg、耐荷重：40kg</span></li>\r\n<li><span class=""a-list-item"">【素材＆材質】天板/プリント紙化粧パーティクルボード、天板側面/合成樹脂(PVC)、脚部/アルミ。</span></li>\r\n<li><span class=""a-list-item"">【持ち運び・収納も簡単】折りたたみから収納するまで2つのステップしかない！アルミニウム製の足を折りたためばベッドやソファー下、隙間への収納が可能。インストールする必要はありません。インドアやアウトドア活動に適用です。</span></li>\r\n<li><span class=""a-list-item"">【ヒューマナイズドデザイン】いつでもどこでも快適さをもたらします。 スペースアルミで作られたU型脚部、軽くてしっかり立てます。 脚部保護パッド、滑り止めで磨滅に耐える。 お腹にフィットする人間工学弧線設計で、もっと快適、凹溝付きで、タブレット/スマホが簡単に置けます。</span></li>\r\n<li><span class=""a-list-item"">【ノートパソコンに最適なミニデスク】11-17インチのノートPCの使用に最適な折り畳み式テーブル、ベッド・ソファーの上でも勉強や仕事、読書、執筆、ゲームなどの作業が快適に。お茶を飲んだり、お菓子を食べたり、お子さんの勉強机にも手頃な大きさで役立ちます。食事、勉強、ゲームなどの際にぴったりのちゃぶ台です。</span></li>\r\n</ul>\r\n",,1
NY city,ny-city,P22004,"abstract,landscape,painting",landscape,images/poster/decor/P22004_762.jpg,images/poster/decor/P22004_277.jpg,images/poster/decor/promo/P22004_277.jpg,"<ul class=""point_description"">\r\n<li><span class=""a-list-item"">【テーブルサイズ】幅60奥行40×高さ28cm、重量2.6kg、耐荷重：40kg</span></li>\r\n<li><span class=""a-list-item"">【素材＆材質】天板/プリント紙化粧パーティクルボード、天板側面/合成樹脂(PVC)、脚部/アルミ。</span></li>\r\n<li><span class=""a-list-item"">【持ち運び・収納も簡単】折りたたみから収納するまで2つのステップしかない！アルミニウム製の足を折りたためばベッドやソファー下、隙間への収納が可能。インストールする必要はありません。インドアやアウトドア活動に適用です。</span></li>\r\n<li><span class=""a-list-item"">【ヒューマナイズドデザイン】いつでもどこでも快適さをもたらします。 スペースアルミで作られたU型脚部、軽くてしっかり立てます。 脚部保護パッド、滑り止めで磨滅に耐える。 お腹にフィットする人間工学弧線設計で、もっと快適、凹溝付きで、タブレット/スマホが簡単に置けます。</span></li>\r\n<li><span class=""a-list-item"">【ノートパソコンに最適なミニデスク】11-17インチのノートPCの使用に最適な折り畳み式テーブル、ベッド・ソファーの上でも勉強や仕事、読書、執筆、ゲームなどの作業が快適に。お茶を飲んだり、お菓子を食べたり、お子さんの勉強机にも手頃な大きさで役立ちます。食事、勉強、ゲームなどの際にぴったりのちゃぶ台です。</span></li>\r\n</ul>\r\n",,1
new born baby,new-born-baby,P22005,"people,baby,image",baby,images/poster/decor/P22005_762.jpg,images/poster/decor/P22005_277.jpg,images/poster/decor/promo/P22005_277.jpg,"<ul class=""point_description"">\r\n<li><span class=""a-list-item"">【テーブルサイズ】幅60奥行40×高さ28cm、重量2.6kg、耐荷重：40kg</span></li>\r\n<li><span class=""a-list-item"">【素材＆材質】天板/プリント紙化粧パーティクルボード、天板側面/合成樹脂(PVC)、脚部/アルミ。</span></li>\r\n<li><span class=""a-list-item"">【持ち運び・収納も簡単】折りたたみから収納するまで2つのステップしかない！アルミニウム製の足を折りたためばベッドやソファー下、隙間への収納が可能。インストールする必要はありません。インドアやアウトドア活動に適用です。</span></li>\r\n<li><span class=""a-list-item"">【ヒューマナイズドデザイン】いつでもどこでも快適さをもたらします。 スペースアルミで作られたU型脚部、軽くてしっかり立てます。 脚部保護パッド、滑り止めで磨滅に耐える。 お腹にフィットする人間工学弧線設計で、もっと快適、凹溝付きで、タブレット/スマホが簡単に置けます。</span></li>\r\n<li><span class=""a-list-item"">【ノートパソコンに最適なミニデスク】11-17インチのノートPCの使用に最適な折り畳み式テーブル、ベッド・ソファーの上でも勉強や仕事、読書、執筆、ゲームなどの作業が快適に。お茶を飲んだり、お菓子を食べたり、お子さんの勉強机にも手頃な大きさで役立ちます。食事、勉強、ゲームなどの際にぴったりのちゃぶ台です。</span></li>\r\n</ul>\r\n",,1
